ID1;ID;D;SD;MATERIAL;COUNTRY;SITE;PERIOD;REFERENCE;SC
;Bln 3753;3900;60;human bone;Italy;Caa dei Grii;neolithic;;IT2CAGRII
27987;Bln-1775?;3800;60;;Italy;Riparo Gaban;Bronze Age;--;﻿IT2GAB
;Bln-1776;3985;50;charcoal;Italy;Gaban;neolithic;;IT2GAB
27988;Bln-1776?;3950;50;;Italy;Riparo Gaban;Chalcolithic;--;﻿IT2GAB
27989;Bln-1777;6030;45;charcoal;Italy;Riparo Gaban;neolithic;--;﻿IT2GAB
27990;Bln-1777a;5750;60;charcoal;Italy;Riparo Gaban;neolithic;Bagolini and Biagi 1987a, 427;﻿IT2GAB
27991;Bln-1778;5990;45;charcoal;Italy;Riparo Gaban;neolithic;--;﻿IT2GAB
;Bln-2715;4780;100;charcoal;Italy;Volser Aicha;neolithic;Montagnari;IT2VOL
;Bln-2795*;6090;100;Charcoal;Italy;Ostiano-Dugali Alt;neolithic;Starnini 17;IT2OSTI
;Bln-2976*;5880;80;charcoal;Italy;Savignano;neolithic;Starnini 17;IT2SAV
;Bln-2977;5110;50;charcoal;Italy;Mosio;neolithic;;IT2MOSIO
;Bln-3135;5930;50;charchoal;Italy;Vho di Piadena;neolithic;Starnini 17;IT2VHO
;Bln-3137;5570;50;charcoal;Italy;Fiorano;neolithic;Starnini 17;IT2FIO
;Bln-3370*;6170;50;charchoal;Italy;Lugo di Romagna;neolithic;Starnini 17;IT2LRO
;Bln-3372;6320;60;;Italy;Faenza - Fornace Cappuccini ;neolithic;"(Conati B. & Silvestrini M., 2005; Skeates R., 1999-2000:";IT2FAFO
;Bln-3373;6120;60;charcoal;Italy;Sammmardenchia;neolithic;;IT2SAM
;Bln-4431;6504;59;charcoal;Italy;Valer;neolithic;;IT2VAL
;Bln-4432;6400;200;charcoal;Italy;Valer;neolithic;;IT2VAL
;Bln-4436;6557;71;charcoal;Italy;Valer;neolithic;;IT2VAL
;BM-2250R;6590;130;;Italy;Marcianese/Marchines;neolithic;"(Grifoni Cremonesi R., 1998; Skeates R., 2003):";IT2MARCI
;BM-2260R;5180;140;;Italy;Cala Colombo ;neolithic;Fiorentino 13;IT2CAC
;BM-2414;6520;70;;Italy;Santa Tecchia ;neolithic;Fiorentino 13;IT2STE
27375;BM-2415;6490;150;;Italy;Fontanarosa Uliveto;neolithic;M�ller 1991, 354;﻿IT2FON
27249;BM-2557;7780;320;seed/fruit;Italy;Coppa Nevigata;mesolithic;Carvalho 2008;﻿IT2COP
27942;CAMS-2681;6890;60;seed/fruit;Italy;Ripa Tetta;neolithic;Manen 2019;IT2RIP
;COL3012.1.1;8263;41;;Albania;Keputa;mesolithic;Hauc et al 2017;AL2KEP
;COL3013.1.1;8579;42;;Albania;Keputa;mesolithic;Hauc et al 2017;AL2KEP
;CRG-888;3380;65;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;CRG-929;4392;140;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;CRG-930;4487;115;wood;Italy;Palu di Livenza;neolithic;;IT2PAL
;DSA-728;6134;28;seed;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSA-729;6161;22;charchoal;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSA-733;6246;24;seed;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSA-734;6272;23;charcoal;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSA-737;6223;56;seed;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSH-299;6356;26;charcoal;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSH-300;6217;26;charcoal;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSH-301;6090;41;seed;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSH-302;6210;35;seed;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSH-349;6237;27;charcoal;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSH-461;5959;48;charchoal;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;DSH-462;5946;24;seed;Italy;Lugo di Grezzana;neolithic;Starnini 17;IT2LGR
;Edera-?;6600;100;shell;Italy;Edera;mesolithic;;IT2EDE
;ETH.121218;4185;70;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12182;4485;60;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12183;4280;65;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12184;3800;60;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12185;4155;60;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12186;3485;50;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12187;3445;55;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12189;4400;70;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12190;4025;65;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12191;2890;60;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12494;5440;55;bone;Italy;Isera la Torreta;neolithic;Montagnari;IT2ISER
;ETH-12495;5580;65;bone;Italy;Isera la Torreta;neolithic;Montagnari;IT2ISER
;ETH-12496;5570;55;bone;Italy;Isera la Torreta;neolithic;Montagnari;IT2ISER
;ETH-12497;4410;70;bone;Italy;Acquaviva di Besenello;neolithic;;IT2ACQ
;ETH-12498;4950;55;bone;Italy;Fiave I;neolithic;Montagnari;IT2FIAV
;ETH-12913;3595;55;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;ETH-12914;2795;55;bone;Italy;Remedello Sotto;neolithic;;IT2REME
;Eth-21724;6080;65;;Italy;Carrara San Francesco ;neolithic;Fiorentino 13;IT2CRA
;ETH-30051;5225;60;charcoal;Italy;Villandro;neolithic;;IT2VILA
;ETH-30053;5425;60;charcoal;Italy;Villandro;neolithic;;IT2VILA
;ETH-30057;6920;60;charcoal;Italy;Villandro;neolithic;;IT2VILA
;ETH-30058;6050;60;charcoal;Italy;Villandro;neolithic;;IT2VILA
;ETH-30059;6105;60;charcoal;Italy;Villandro;neolithic;;IT2VILA
;ETH-6196;4070;70;bone;Italy;Remedello Sotto;neolithic;;IT2REME
27833;ETH-8342;4560;65;;Italy;Oetzi;neolithic;--;IT2OTZ
;ETH-8345;4555;35;organic;Austria;Similaun;neolithic;;AU2OZT
27832;ETH-8345.1-2;4555;34;;Italy;Oetzi;Chalcolithic;;AU2OZT
